movie_id,nombre,clasificacion,genero,duracion_min,categoria,vista_id,poster_url,banner_url,trailer_url
backrooms-sin-salida,Backrooms: Sin Salida,B15,TERROR,111 min,Cartelera,,https://tickets-static-content.cinepolis.com/pimcore/18223/assets/Mexico/Tickets/Movies/BackroomsSinSalida/Es/Po_ster_720x1022__11/resource.jpg,https://tickets-static-content.cinepolis.com/pimcore/18223/assets/Mexico/Tickets/Movies/BackroomsSinSalida/Es/Header_movie_details_1440x900__8/resource.jpg,https://tickets-static-content.cinepolis.com/pimcore/18223/assets/Mexico/Tickets/Movies/BackroomsSinSalida/Es/69f240ad78585backrooms_3/resource.mp4
amos-del-universo,Amos Del Universo,B,"AVENTURA, ACCIÓN, CIENCIA FICCIÓN",141 min,Cartelera,,https://tickets-static-content.cinepolis.com/pimcore/18600/assets/Mexico/Tickets/Movies/AmosDelUniverso/Es/MOTU_720x1022_2/resource.jpg,https://tickets-static-content.cinepolis.com/pimcore/18600/assets/Mexico/Tickets/Movies/AmosDelUniverso/Es/MOTU_1440x900_2/resource.jpg,https://tickets-static-content.cinepolis.com/pimcore/18600/assets/Mexico/Tickets/Movies/AmosDelUniverso/Es/6a03bca770090heman/resource.mp4
el-sonido-al-caer,El Sonido Al Caer,B15,DRAMA,155 min,Cartelera,,https://tickets-static-content.cinepolis.com/pimcore/19947/assets/Mexico/Tickets/Movies/ElSonidoAlCaer/Es/P_ster_720x1022px_2/resource.jpg,https://tickets-static-content.cinepolis.com/pimcore/19947/assets/Mexico/Tickets/Movies/ElSonidoAlCaer/Es/Header_Movie_details_1440x900px_2/resource.jpg,https://tickets-static-content.cinepolis.com/pimcore/19947/assets/Mexico/Tickets/Movies/ElSonidoAlCaer/Es/6a3bd556f16fesonidolacaida/resource.mp4
en-el-camino,En El Camino,C,DRAMA,93 min,Cartelera,,https://tickets-static-content.cinepolis.com/pimcore/18930/assets/Mexico/Tickets/Movies/EnElCamino/Es/EEC_DESKTOP_P_ster_720x1022px_2/resource.jpg,https://tickets-static-content.cinepolis.com/pimcore/18930/assets/Mexico/Tickets/Movies/EnElCamino/Es/EEC_DESKTOP_Header_flujo_de_compra_1440x900px_2/resource.jpg,https://tickets-static-content.cinepolis.com/pimcore/18930/assets/Mexico/Tickets/Movies/EnElCamino/Es/6a0dff3aa49d8EEC_W8_1366x770/resource.mp4
ghost-2-big-to-ring-en-cines,GHOST: 2 Big To Rig En Cines,TBC,CONCIERTO,115 min,Cartelera,,https://tickets-static-content.cinepolis.com/pimcore/20875/assets/Mexico/Tickets/Movies/GHOST2BigToRing/Es/Poster_WEB_Desktop_720x1022px_3__2/resource.jpg,https://tickets-static-content.cinepolis.com/pimcore/20875/assets/Mexico/Tickets/Movies/GHOST2BigToRing/Es/HeaderMovieDetails_WEB_Desktop_1440x900px_3__2/resource.jpg,
eraserhead,ERASERHEAD,TBC,TERROR,89 min,Cartelera,,https://tickets-static-content.cinepolis.com/pimcore/20895/assets/Mexico/Tickets/Movies/ERASERHEAD/Es/Poster_WEB_Desktop_720x1022px_4__2/resource.jpg,https://tickets-static-content.cinepolis.com/pimcore/20895/assets/Mexico/Tickets/Movies/ERASERHEAD/Es/HeaderMovieDetails_WEB_Desktop_1440x900px_4__2/resource.jpg,
twin-peaks,TWIN PEAKS,TBC,THRILLER,50 min,Cartelera,,https://tickets-static-content.cinepolis.com/pimcore/20898/assets/Mexico/Tickets/Movies/TWINPEAKS/Es/Poster_WEB_Desktop_720x1022px_5__2/resource.jpg,https://tickets-static-content.cinepolis.com/pimcore/20898/assets/Mexico/Tickets/Movies/TWINPEAKS/Es/HeaderMovieDetails_WEB_Desktop_1440x900px_6__2/resource.jpg,
leviticus-ritual-de-sangre,Leviticus Ritual De Sangre,B15,DRAMA,88 min,Cartelera,,https://tickets-static-content.cinepolis.com/pimcore/18638/assets/Mexico/Tickets/Movies/LeviticusRitualDeSangre/Es/P_ster_720x1022px_2/resource.jpg,https://tickets-static-content.cinepolis.com/pimcore/18638/assets/Mexico/Tickets/Movies/LeviticusRitualDeSangre/Es/Header_Movie_details_1440x900px_2/resource.jpg,https://tickets-static-content.cinepolis.com/pimcore/18638/assets/Mexico/Tickets/Movies/LeviticusRitualDeSangre/Es/6a05f1af9f3d9leviticus/resource.mp4
el-afinador,El Afinador,B15,"SUSPENSO, ACCIÓN",109 min,Cartelera,,https://tickets-static-content.cinepolis.com/pimcore/18221/assets/Mexico/Tickets/Movies/ElAfinador/Es/Poster_720x1022_2/resource.jpg,https://tickets-static-content.cinepolis.com/pimcore/18221/assets/Mexico/Tickets/Movies/ElAfinador/Es/Header_movie_details_1440x900px_1__20/resource.jpg,https://tickets-static-content.cinepolis.com/pimcore/18221/assets/Mexico/Tickets/Movies/ElAfinador/Es/69f23f3508f2delafinador_7/resource.mp4
cafe-chairel,Café Chairel,B,"COMEDIA, ROMANCE, DRAMA",111 min,Cartelera,,https://tickets-static-content.cinepolis.com/pimcore/17351/assets/Mexico/Tickets/Movies/CafeChairel/Es/720x1022_NUEVO_2/resource.jpg,https://tickets-static-content.cinepolis.com/pimcore/17351/assets/Mexico/Tickets/Movies/CafeChairel/Es/1440_x_900_4/resource.jpg,https://tickets-static-content.cinepolis.com/pimcore/17351/assets/Mexico/Tickets/Movies/CafeChairel/Es/69d6cb2ff26f1CAFE_CHAIREL_TRAILER_3/resource.mp4
la-negociacion,La Negociación,TBC,"SUSPENSO, CRIMEN",105 min,Cartelera,,https://tickets-static-content.cinepolis.com/pimcore/20537/assets/Mexico/Tickets/Movies/LaNegociacion/Es/P_ster_720x1022px_2/resource.jpg,https://tickets-static-content.cinepolis.com/pimcore/20537/assets/Mexico/Tickets/Movies/LaNegociacion/Es/Header_Movie_details_1440x900px_2/resource.jpg,https://tickets-static-content.cinepolis.com/pimcore/20537/assets/Mexico/Tickets/Movies/LaNegociacion/Es/6a57c7b29e43flanegociacion/resource.mp4
sexo-suenos-amor,"Sueños (Amor, Sexo)",B,"ROMANCE, DRAMA",111 min,Cartelera,,https://tickets-static-content.cinepolis.com/pimcore/20534/assets/Mexico/Tickets/Movies/SexoSuenosAmor/Es/Suen_os_poster_720x1022_2/resource.jpg,https://tickets-static-content.cinepolis.com/pimcore/20534/assets/Mexico/Tickets/Movies/SexoSuenosAmor/Es/Header_Movie_details_1440x900_1__2/resource.jpg,https://tickets-static-content.cinepolis.com/pimcore/20534/assets/Mexico/Tickets/Movies/SexoSuenosAmor/Es/6a57c65b47654sexosuenosamor/resource.mp4
el-dia-d-bajo-presion,El Día D Bajo Presión,TBC,"DRAMA, THRILLER",100 min,Cartelera,,https://tickets-static-content.cinepolis.com/pimcore/19268/assets/Mexico/Tickets/Movies/ElDiaDBajoPresion/Es/9_P_ster_720x1022px_2__2/resource.jpg,https://tickets-static-content.cinepolis.com/pimcore/19268/assets/Mexico/Tickets/Movies/ElDiaDBajoPresion/Es/4_Header_movie_details_1440x900px_3__2/resource.jpg,https://tickets-static-content.cinepolis.com/pimcore/19268/assets/Mexico/Tickets/Movies/ElDiaDBajoPresion/Es/6a1f21891a39cdiadbajopresion/resource.mp4
insaciable,Insaciable,TBC,"HORROR, BODY HORROR",113 min,Cartelera,,https://tickets-static-content.cinepolis.com/pimcore/20319/assets/Mexico/Tickets/Movies/Insaciable/Es/poster_720x1022_s_2_2/resource.jpg,https://tickets-static-content.cinepolis.com/pimcore/20319/assets/Mexico/Tickets/Movies/Insaciable/Es/header_movie_details_1440x900_s_2/resource.jpg,https://tickets-static-content.cinepolis.com/pimcore/20319/assets/Mexico/Tickets/Movies/Insaciable/Es/6a4d6b659dc1ainsaciable/resource.mp4
la-muerte-de-robin-hood,La Muerte De Robin Hood,TBC,"DRAMA, SUSPENSO",122 min,Cartelera,,https://tickets-static-content.cinepolis.com/pimcore/20538/assets/Mexico/Tickets/Movies/LaMuerteDeRobinHood/Es/720x1022_21/resource.jpg,https://tickets-static-content.cinepolis.com/pimcore/20538/assets/Mexico/Tickets/Movies/LaMuerteDeRobinHood/Es/Header_movie_details_1440x900__2/resource.jpg,https://tickets-static-content.cinepolis.com/pimcore/20538/assets/Mexico/Tickets/Movies/LaMuerteDeRobinHood/Es/6a57c86a70419lamuerterobinhood/resource.mp4
